,City,State,Restaurant
703,Lancaster,PA,Five Guys
704,Ephrata,PA,Five Guys
705,Manheim,PA,Sensenig Poultry LLC
706,Quarryville,PA,Burger King
707,Lancaster,PA,Burger King
708,Columbia,PA,Burger King
709,Fairborn,OH,Arby's
710,Westford,MA,Chipotle Mexican Grill
711,Elk River,MN,McDonald's
712,Bellefonte,PA,Burger King
713,Philipsburg,PA,McDonald's
714,Mechanicsburg,PA,Burger King
715,Mechanicsburg,PA,Five Guys
717,Lemoyne,PA,KFC
718,Mechanicsburg,PA,Wendy's
719,Carlisle,PA,McDonald's
720,Mechanicsburg,PA,McDonald's
721,Flint,MI,Taco Bell
722,Carlisle,PA,Waffle House
723,Elyria,OH,Rally's Hamburgers
724,Lemoyne,PA,Burger King
725,York,PA,McDonald's
726,Erie,PA,Five Guys
727,Bloomsburg,PA,Burger King
728,Bloomsburg,PA,McDonald's
729,Meadville,PA,Burger King
730,Canton,OH,Jimmy John's
731,Fredericksburg,VA,Arby's
732,Fredericksburg,VA,Hardee's
733,Fredericksburg,VA,McDonald's
734,Gordonsville,VA,Arby's
735,Vail,CO,McDonald's
736,Eagle,CO,Burger King
737,Gulf Shores,AL,Arby's
738,Foley,AL,Taco Bell
739,York,PA,KFC
740,Hanover,PA,KFC
741,Manasquan,NJ,Wendy's
742,Etters,PA,Burger King
743,Hanover,PA,Burger King
744,Cherry Hill,NJ,Pei Wei
745,Dover,OH,Taco Bell
746,Port Angeles,WA,Frugal's
747,Kingsland,GA,Burger King
748,Temecula,CA,Jack In The Box
749,Hudson,WI,KFC
750,Bessemer,AL,Arby's
751,Bessemer,AL,McDonald's
752,Bessemer,AL,SONIC Drive-In
753,Bessemer,AL,Captain D's Seafood
754,Kodak,TN,Krystal
755,Salisbury,NC,Bojangles' Famous Chicken 'n Biscuits
756,Seaside Heights,NJ,Seaside Eatery
757,Millville,NJ,Subway
758,Toms River,NJ,Chipotle Mexican Grill
759,Minneapolis,MN,Taco Bell
760,Williamsport,PA,Burger King
761,Carson City,NV,Dairy Queen
762,Williamsport,PA,Burger King
763,Saint Louis,MO,Taco Bell
764,Saint Louis,MO,McDonald's
765,Placerville,CA,Jack In The Box
766,Fredericksburg,VA,Chick-Fil-A
767,Palm Springs,CA,McDonald's
768,Winchester,VA,Bojangles' Famous Chicken 'n Biscuits
769,East Ellijay,GA,Burger King
770,Westborough,MA,Chick-Fil-A
771,Mechanicsburg,PA,Arby's
772,Coldwater,MI,Jimmy John's
773,Morgantown,WV,Subway
774,Waterford,MI,Arby's
775,Gloucester,VA,SONIC Drive-In
776,Southbridge,MA,McDonald's
777,Williamsburg,VA,Long John Silver's
778,Augusta,GA,Krystal
779,O Fallon,MO,Jimmy John's
780,Circle Pines,MN,Burger King
781,Augusta,GA,Krystal
782,Winston Salem,NC,Cook-Out
783,Flint,MI,Burger King
784,Flat Rock,MI,KFC
786,Columbia,SC,Burger King
787,Greenville,SC,Waffle House
788,Greenville,SC,Burger King
789,Clinton,SC,SONIC Drive-In
790,Greenville,SC,Burger King
791,Greenville,SC,Burger King
792,West Columbia,SC,Waffle House
793,Camden,SC,Waffle House
794,Camden,SC,Wendy's
795,Elgin,SC,Bojangles' Famous Chicken 'n Biscuits
796,Columbia,SC,KFC
797,West Columbia,SC,Waffle House
798,Washington,MI,Arby's
799,Saluda,SC,Burger King
800,Columbia,SC,Burger King
801,Columbia,SC,Fazoli's
802,Lexington,SC,Burger King
803,West Columbia,SC,Burger King
804,Lexington,SC,Burger King
805,Harrisburg,PA,Arby's
806,Homestead,FL,Pollo Tropical
807,Gastonia,NC,Taco Bell
808,Gastonia,NC,Arby's
809,Cleveland,OH,Arby's
810,Berea,OH,Arby's
811,Flint,MI,Popeye's Louisiana Kitchen
812,Belleville,IL,Captain D's Seafood
813,Cincinnati,OH,White Castle
814,Cincinnati,OH,Wendy's
815,Cincinnati,OH,Wendy's
816,Cincinnati,OH,Arby's
817,West Chester,OH,Arby's
818,Cincinnati,OH,White Castle
819,Cincinnati,OH,Jimmy John's
820,Cincinnati,OH,McDonald's
821,New York,NY,Dunkin' Donuts
822,Pittston,PA,McDonald's
823,Pittston,PA,Wendy's
824,Nashua,NH,Chick-Fil-A
